WindSpeed,WindDirection,WaveCondition,Tension,Vessel,Berth,MC,ML
30.0,N,,106,180k,Berth 02,MC1,Bow
30.0,NNE,,118,180k,Berth 02,MC1,Bow
30.0,NE,,121,180k,Berth 02,MC1,Bow
30.0,ENE,,103,180k,Berth 02,MC1,Bow
30.0,E,,86,180k,Berth 02,MC1,Bow
30.0,ESE,,144,180k,Berth 02,MC1,Bow
30.0,SE,,223,180k,Berth 02,MC1,Bow
30.0,SSE,,242,180k,Berth 02,MC1,Bow
30.0,S,,299,180k,Berth 02,MC1,Bow
30.0,SSW,,267,180k,Berth 02,MC1,Bow
30.0,SW,,252,180k,Berth 02,MC1,Bow
30.0,WSW,,141,180k,Berth 02,MC1,Bow
30.0,W,,133,180k,Berth 02,MC1,Bow
30.0,WNW,,106,180k,Berth 02,MC1,Bow
30.0,NW,,100,180k,Berth 02,MC1,Bow
30.0,NNW,,93,180k,Berth 02,MC1,Bow
20.0,N,,99,180k,Berth 02,MC1,Bow
20.0,NNE,,121,180k,Berth 02,MC1,Bow
20.0,NE,,124,180k,Berth 02,MC1,Bow
20.0,ENE,,105,180k,Berth 02,MC1,Bow
20.0,E,,105,180k,Berth 02,MC1,Bow
20.0,ESE,,100,180k,Berth 02,MC1,Bow
20.0,SE,,132,180k,Berth 02,MC1,Bow
20.0,SSE,,152,180k,Berth 02,MC1,Bow
20.0,S,,148,180k,Berth 02,MC1,Bow
20.0,SSW,,140,180k,Berth 02,MC1,Bow
20.0,SW,,133,180k,Berth 02,MC1,Bow
20.0,WSW,,111,180k,Berth 02,MC1,Bow
20.0,W,,107,180k,Berth 02,MC1,Bow
20.0,WNW,,113,180k,Berth 02,MC1,Bow
20.0,NW,,102,180k,Berth 02,MC1,Bow
20.0,NNW,,102,180k,Berth 02,MC1,Bow
20.0,NE,1,175,180k,Berth 02,MC1,Bow
20.0,NE,2,92,180k,Berth 02,MC1,Bow
20.0,NE,3,101,180k,Berth 02,MC1,Bow
20.0,NE,4,145,180k,Berth 02,MC1,Bow
20.0,NE,5,149,180k,Berth 02,MC1,Bow
20.0,NE,6,187,180k,Berth 02,MC1,Bow
20.0,NE,7,211,180k,Berth 02,MC1,Bow
9.0,E,8,121,180k,Berth 02,MC1,Bow
9.0,E,9,173,180k,Berth 02,MC1,Bow
9.0,E,10,169,180k,Berth 02,MC1,Bow
30.0,N,,72,180k,Berth 02,MC1,Fwd Spring
30.0,NNE,,87,180k,Berth 02,MC1,Fwd Spring
30.0,NE,,104,180k,Berth 02,MC1,Fwd Spring
30.0,ENE,,118,180k,Berth 02,MC1,Fwd Spring
30.0,E,,87,180k,Berth 02,MC1,Fwd Spring
30.0,ESE,,97,180k,Berth 02,MC1,Fwd Spring
30.0,SE,,90,180k,Berth 02,MC1,Fwd Spring
30.0,SSE,,140,180k,Berth 02,MC1,Fwd Spring
30.0,S,,165,180k,Berth 02,MC1,Fwd Spring
30.0,SSW,,135,180k,Berth 02,MC1,Fwd Spring
30.0,SW,,105,180k,Berth 02,MC1,Fwd Spring
30.0,WSW,,83,180k,Berth 02,MC1,Fwd Spring
30.0,W,,71,180k,Berth 02,MC1,Fwd Spring
30.0,WNW,,57,180k,Berth 02,MC1,Fwd Spring
30.0,NW,,59,180k,Berth 02,MC1,Fwd Spring
30.0,NNW,,59,180k,Berth 02,MC1,Fwd Spring
20.0,N,,68,180k,Berth 02,MC1,Fwd Spring
20.0,NNE,,88,180k,Berth 02,MC1,Fwd Spring
20.0,NE,,101,180k,Berth 02,MC1,Fwd Spring
20.0,ENE,,96,180k,Berth 02,MC1,Fwd Spring
20.0,E,,91,180k,Berth 02,MC1,Fwd Spring
20.0,ESE,,83,180k,Berth 02,MC1,Fwd Spring
20.0,SE,,83,180k,Berth 02,MC1,Fwd Spring
20.0,SSE,,87,180k,Berth 02,MC1,Fwd Spring
20.0,S,,104,180k,Berth 02,MC1,Fwd Spring
20.0,SSW,,111,180k,Berth 02,MC1,Fwd Spring
20.0,SW,,110,180k,Berth 02,MC1,Fwd Spring
