Berth,Vessel,MC,ML,Location,Number,InEnvelope
Berth 02,180k,MC1,Bow,ND,26,0
Berth 02,180k,MC1,Bow,ND,26,0
Berth 02,180k,MC1,Bow,ND,26,0
Berth 02,180k,MC1,Bow,ND,26,0
Berth 02,180k,MC1,Bow,NR,26,0
Berth 02,180k,MC1,Bow,NR,26,0
Berth 02,180k,MC1,Bow,NR,26,0
Berth 02,180k,MC1,Bow,NR,26,0
Berth 02,180k,MC1,Bow,SR,26,0
Berth 02,180k,MC1,Bow,SR,26,0
Berth 02,180k,MC1,Bow,SR,26,0
Berth 02,180k,MC1,Bow,SR,26,0
Berth 02,180k,MC1,Bow,ND,27,0
Berth 02,180k,MC1,Bow,ND,27,0
Berth 02,180k,MC1,Bow,ND,27,0
Berth 02,180k,MC1,Bow,ND,27,0
Berth 02,180k,MC1,Bow,NR,27,0
Berth 02,180k,MC1,Bow,NR,27,0
Berth 02,180k,MC1,Bow,NR,27,0
Berth 02,180k,MC1,Bow,NR,27,0
Berth 02,180k,MC1,Bow,SR,27,0
Berth 02,180k,MC1,Bow,SR,27,0
Berth 02,180k,MC1,Bow,SR,27,0
Berth 02,180k,MC1,Bow,SR,27,0
Berth 02,180k,MC1,Bow,ND,28,0
Berth 02,180k,MC1,Bow,ND,28,0
Berth 02,180k,MC1,Bow,ND,28,0
Berth 02,180k,MC1,Bow,ND,28,0
Berth 02,180k,MC1,Bow,NR,28,0
Berth 02,180k,MC1,Bow,NR,28,0
Berth 02,180k,MC1,Bow,NR,28,0
Berth 02,180k,MC1,Bow,NR,28,0
Berth 02,180k,MC1,Bow,SR,28,0
Berth 02,180k,MC1,Bow,SR,28,0
Berth 02,180k,MC1,Bow,SR,28,0
Berth 02,180k,MC1,Bow,SR,28,0
Berth 02,180k,MC1,Bow,ND,29,0
Berth 02,180k,MC1,Bow,ND,29,0
Berth 02,180k,MC1,Bow,ND,29,0
Berth 02,180k,MC1,Bow,ND,29,0
Berth 02,180k,MC1,Bow,NR,29,0
Berth 02,180k,MC1,Bow,NR,29,0
Berth 02,180k,MC1,Bow,NR,29,0
