Page,X,Y,Width,Height,Name
1,3.6171,7.5033,0.4259,0.2926,74ND
1,3.6171,7.7929,0.4259,0.3021,74NR
1,3.624,8.0919,0.4259,0.3857,74SR
1,1.7918,7.5011,1.8267,0.2948,75ND
1,1.7918,7.7929,1.8267,0.3021,75NR
1,1.7918,8.0919,1.8267,0.3857,75SR
1,4.0403,7.5033,0.4259,0.2948,73ND
1,4.0403,7.7929,0.4259,0.3021,73NR
1,4.0403,8.0919,0.4259,0.3857,73SR
1,4.4611,7.5033,0.4287,0.2948,72ND
1,4.4611,7.7929,0.4287,0.3021,72NR
1,4.4611,8.0917,0.4287,0.3857,72SR
1,4.8871,7.5033,0.4259,0.2948,71ND
1,4.8871,7.7929,0.4259,0.3021,71NR
1,4.8871,8.0917,0.4259,0.3857,71SR
1,5.3118,7.5033,0.4259,0.2948,70ND
1,5.3118,7.7929,0.4259,0.3021,70NR
1,5.3118,8.0917,0.4259,0.3857,70SR
1,5.7389,7.5033,0.4259,0.2948,69ND
1,5.7389,7.7929,0.4259,0.3021,69NR
1,5.7389,8.0917,0.4259,0.3857,69SR
1,6.1586,7.5033,0.4259,0.2948,68ND
1,6.1586,7.7929,0.4259,0.3021,68NR
1,6.1586,8.0923,0.4259,0.3857,68SR
1,6.5832,7.5033,0.4259,0.2948,67ND
1,6.5832,7.7929,0.4259,0.3021,67NR
1,6.5832,8.0921,0.4259,0.3857,67SR
1,7.0034,7.5033,0.4292,0.2948,66ND
1,7.0034,7.7929,0.4292,0.3021,66NR
1,7.0034,8.0929,0.4292,0.3857,66SR
1,7.4287,7.5033,0.4259,0.2948,65ND
1,7.4287,7.7929,0.4259,0.3021,65NR
1,7.4287,8.0923,0.4259,0.3857,65SR
1,7.8512,7.5033,0.4283,0.2948,64ND
1,7.8512,7.7929,0.4283,0.3021,64NR
1,7.8512,8.0923,0.4283,0.3857,64SR
1,8.2759,7.5033,0.4279,0.2948,63ND
1,8.2759,7.7929,0.4279,0.3021,63NR
1,8.2759,8.0925,0.4279,0.3857,63SR
1,8.7,7.5033,0.4259,0.2948,62ND
1,8.7,7.7929,0.4259,0.3021,62NR
1,8.7,8.0937,0.4259,0.3857,62SR
1,9.1212,7.5033,0.431,0.2948,61ND
1,9.1212,7.7929,0.431,0.3021,61NR
1,9.1212,8.0937,0.431,0.3857,61SR
1,9.5478,7.5033,0.4285,0.2948,60ND
1,9.5478,7.7929,0.4285,0.3021,60NR
1,9.5478,8.0932,0.4285,0.3857,60SR
1,9.9734,7.5033,0.4259,0.2948,59ND
1,9.9734,7.7929,0.4259,0.3021,59NR
1,9.9734,8.0922,0.4259,0.3857,59SR
1,10.3961,7.5033,0.4259,0.2948,58ND
1,10.3961,7.7929,0.4259,0.3021,58NR
1,10.3961,8.0917,0.4259,0.3857,58SR
1,10.818,7.5033,0.4259,0.2948,57ND
1,10.818,7.7929,0.4259,0.3021,57NR
1,10.818,8.0922,0.4259,0.3857,57SR
1,11.2409,7.5033,0.429,0.2948,56ND
1,11.2409,7.7929,0.429,0.3021,56NR
1,11.2409,8.0922,0.429,0.3857,56SR
1,11.6675,7.5033,0.4259,0.2948,55ND
1,11.6675,7.7929,0.4259,0.3021,55NR
1,11.6675,8.0917,0.4259,0.3857,55SR
1,12.0909,7.5033,0.4259,0.2948,54ND
1,12.0909,7.7929,0.4259,0.3021,54NR
1,12.0909,8.0917,0.4259,0.3857,54SR
1,12.5128,7.5033,0.4259,0.2948,53ND
1,12.5128,7.7929,0.4259,0.3021,53NR
1,12.5128,8.0917,0.4259,0.3857,53SR
1,12.9347,7.5033,0.4278,0.2948,52ND
1,12.9347,7.7929,0.4278,0.3021,52NR
1,12.9347,8.0912,0.4278,0.3857,52SR
1,13.3604,7.5033,0.4259,0.2948,51ND
1,13.3604,7.7929,0.4259,0.3021,51NR
1,13.3604,8.09,0.4259,0.3857,51SR
1,13.7847,7.5033,0.4259,0.2948,50ND
1,13.7847,7.7929,0.4259,0.3021,50NR
1,13.7847,8.09,0.4259,0.3857,50SR
1,14.2073,7.5033,0.4284,0.2948,49ND
1,14.2073,7.7929,0.4284,0.3021,49NR
1,14.2073,8.09,0.4284,0.3857,49SR
1,14.6332,7.5033,0.4259,0.2948,48ND
1,14.6332,7.7929,0.4259,0.3021,48NR
1,14.6332,8.0902,0.4259,0.3857,48SR
1,15.0552,7.5033,0.4259,0.2948,47ND
1,15.0552,7.7929,0.4259,0.3021,47NR
1,15.0552,8.0912,0.4259,0.3857,47SR
1,15.4793,7.5033,0.4259,0.2948,46ND
1,15.4793,7.7929,0.4259,0.3021,46NR
1,15.4793,8.0907,0.4259,0.3857,46SR
1,15.9031,7.5033,0.4259,0.2948,45ND
1,15.9031,7.7929,0.4259,0.3021,45NR
1,15.9031,8.0902,0.4259,0.3857,45SR
1,16.3264,7.5033,0.4259,0.2948,44ND
1,16.3264,7.7929,0.4259,0.3021,44NR
1,16.3264,8.0912,0.4259,0.3857,44SR
1,16.749,7.5033,0.4293,0.2948,43ND
1,16.749,7.7929,0.4293,0.3021,43NR
1,16.749,8.0912,0.4293,0.3857,43SR
1,17.1746,7.5033,0.4259,0.2948,42ND
1,17.1746,7.7929,0.4259,0.3021,42NR
1,17.1746,8.0907,0.4259,0.3857,42SR
1,17.5972,7.5033,0.2747,0.2948,41ND
1,17.5972,7.7929,0.2747,0.3021,41NR
1,17.5972,8.0902,0.2747,0.3857,41SR
1,17.8687,7.5033,0.1761,0.2948,40ND
1,17.8687,7.7929,0.1761,0.3021,40NR
1,17.8687,8.0903,0.1761,0.3857,40SR
1,18.0419,7.5033,0.29,0.2948,39ND
1,18.0419,7.7929,0.29,0.3021,39NR
1,18.0419,8.09,0.29,0.3857,39SR
1,18.3271,7.5033,0.2913,0.2948,38ND
1,18.3271,7.7929,0.2913,0.3021,38NR
1,18.3271,8.0917,0.2913,0.3857,38SR
1,18.6155,7.5033,0.2864,0.2948,37ND
1,18.6155,7.7929,0.2864,0.3021,37NR
1,18.6155,8.0924,0.2864,0.3857,37SR
1,18.9011,7.5033,0.2913,0.2948,36ND
1,18.9011,7.7929,0.2913,0.3021,36NR
1,18.9011,8.0924,0.2913,0.3857,36SR
1,19.1901,7.5033,0.2913,0.2948,35ND
1,19.1901,7.7929,0.2913,0.3021,35NR
1,19.1901,8.0914,0.2913,0.3857,35SR
1,19.4782,7.5033,0.2913,0.2948,34ND
1,19.4782,7.7929,0.2913,0.3021,34NR
1,19.4782,8.0909,0.2913,0.3857,34SR
1,19.7669,7.5033,0.2878,0.2948,33ND
1,19.7669,7.7929,0.2878,0.3021,33NR
1,19.7669,8.0908,0.2878,0.3857,33SR
1,20.0532,7.5033,0.2866,0.2948,32ND
1,20.0532,7.7929,0.2866,0.3021,32NR
1,20.0532,8.0896,0.2866,0.3857,32SR
1,20.3379,7.5033,0.2913,0.2948,31ND
1,20.3379,7.7929,0.2913,0.3021,31NR
1,20.3379,8.0898,0.2913,0.3857,31SR
1,20.6258,7.5033,0.2913,0.2948,30ND
1,20.6258,7.7929,0.2913,0.3021,30NR
1,20.6258,8.0902,0.2913,0.3857,30SR
1,20.9113,7.5033,0.2913,0.2948,29ND
1,20.9113,7.7929,0.2913,0.3021,29NR
1,20.9113,8.0893,0.2913,0.3857,29SR
1,21.1989,7.5033,0.2913,0.2948,28ND
1,21.1989,7.7929,0.2913,0.3021,28NR
1,21.1989,8.0943,0.2913,0.3857,28SR
1,21.4872,7.5033,0.2913,0.2948,27ND
1,21.4872,7.7929,0.2913,0.3021,27NR
1,21.4872,8.0947,0.2913,0.3857,27SR
1,21.7755,7.5033,0.2913,0.2948,26ND
1,21.7755,7.7929,0.2913,0.3021,26NR
1,21.7755,8.094,0.2913,0.3857,26SR
