Page,Name,X,Y
1,19N,24.0008,7.8875
1,19S,24.0308,8.0512
1,20N,23.677,7.8875
1,20S,23.7174,8.0939
1,21N,23.3514,7.8875
1,21S,23.3897,8.0939
1,22N,23.0306,7.8875
1,22S,23.0694,8.0927
1,23N,22.9188,7.7939
1,23S,22.9183,8.0939
1,24N,22.5988,7.7939
1,24S,22.6056,8.0939
1,25N,22.349,7.7925
1,25S,22.3515,8.0939
1,26N,22.0599,7.7925
1,26S,22.0638,8.0939
1,27N,21.7736,7.7953
1,27S,21.7784,8.0939
1,28N,21.4803,7.7939
1,28S,21.4942,8.0939
1,29N,21.194,7.7911
1,29S,21.1995,8.0939
1,30N,20.9105,7.7911
1,30S,20.9148,8.0939
1,31N,20.62,7.7939
1,31S,20.6317,8.0939
1,32N,20.3365,7.7883
1,32S,20.3421,8.0939
1,33N,20.0501,7.7924
1,33S,20.0541,8.0939
1,34N,19.7666,7.7896
1,34S,19.7678,8.0939
1,35N,19.4775,7.7924
1,35S,19.4835,8.0953
1,36N,19.1913,7.7911
1,36S,19.1913,8.0953
1,37N,18.9064,7.7855
1,37S,18.905,8.098
1,38N,18.6187,7.7869
1,38S,18.6184,8.0967
1,39N,18.3316,7.7934
1,39S,18.3347,8.0939
1,40N,18.0467,7.7943
1,40S,18.0485,8.0939
1,41N,17.8764,7.7955
1,41S,17.8744,8.0927
1,42N,17.597,7.7939
1,42S,17.5988,8.0939
1,43N,17.1769,7.7981
1,43S,17.1828,8.0939
1,44N,16.7563,7.7953
1,44S,16.7568,8.0939
1,45N,16.3325,7.7925
1,45S,16.3323,8.0939
1,46N,15.9058,7.7925
1,46S,15.9063,8.0939
1,47N,15.4806,7.7953
1,47S,15.4839,8.0939
1,48N,15.0581,7.7981
1,48S,15.0615,8.0939
1,49N,14.6371,7.7925
1,49S,14.6391,8.0939
1,50N,14.2105,7.7967
1,50S,14.2127,8.0939
1,51N,13.7883,7.7935
1,51S,13.7868,8.0939
1,52N,13.3628,7.7953
1,52S,13.3647,8.0939
1,53N,12.9404,7.7953
1,53S,12.9355,8.0939
1,54N,12.5179,7.7953
1,54S,12.5135,8.0939
1,55N,12.0899,7.7939
1,55S,12.0939,8.0939
1,56N,11.666,7.7953
1,56S,11.6647,8.0939
1,57N,11.2429,7.7939
1,57S,11.2424,8.0985
1,58N,10.8227,7.7939
1,58S,10.8196,8.0962
1,59N,10.3959,7.7925
1,59S,10.3966,8.095
1,60N,9.973,7.7941
1,60S,9.9728,8.0927
1,61N,9.5525,7.7953
1,61S,9.5491,8.0939
1,62N,9.1272,7.7939
1,62S,9.1251,8.0939
1,63N,8.6977,7.7925
1,63S,8.7021,8.0916
1,64N,8.2784,7.793
1,64S,8.2779,8.0974
1,65N,7.8531,7.7918
1,65S,7.8545,8.0939
1,66N,7.4262,7.7911
1,66S,7.4268,8.0923
1,67N,7.0038,7.7939
1,67S,7.0075,8.0915
1,68N,6.5786,7.7939
1,68S,6.5812,8.0899
1,69N,6.1561,7.7939
1,69S,6.1566,8.0915
1,70N,5.7267,7.7967
1,70S,5.7317,8.0939
1,71N,5.3113,7.7953
1,71S,5.3106,8.0939
1,72N,4.8874,7.7939
1,72S,4.8812,8.0939
1,73N,4.4678,7.7925
1,73S,4.4635,8.0939
1,74N,4.037,7.7939
1,74S,4.0374,8.0939
1,A3N,20.8275,7.6349
1,A3S,20.8296,8.2931
1,A4N,18.7215,7.6323
1,A4S,18.6784,8.3154
1,A5N,17.7398,7.6328
1,A5S,17.6903,8.3488
1,A6N,16.9654,7.6605
1,A6S,16.9431,8.3136
1,A7C,15.6954,7.9439
1,A7N,15.6951,7.6322
1,A7S,15.6955,8.343
1,A8C,14.8449,7.9439
1,A8N,14.8487,7.6328
1,A8S,14.8427,8.343
1,A9C,13.572,7.9439
1,A9N,13.5719,7.6339
1,A9S,13.5767,8.343
1,A10C,12.3047,7.9439
1,A10N,12.3048,7.6329
1,A10S,12.3016,8.343
1,A11C,11.0299,7.9439
1,A11N,11.0347,7.6336
1,A11S,11.0296,8.3452
1,A12C,9.7609,7.9439
1,A12N,9.761,7.6315
1,A12S,9.7692,8.3439
1,A13C,8.4887,7.9439
1,A13N,8.491,7.6355
1,A13S,8.5061,8.3439
1,A14C,7.2191,7.9423
1,A14N,7.217,7.6358
1,A14S,7.2176,8.3422
1,A15C,5.9482,7.9439
1,A15N,5.9431,7.6314
1,A15S,5.9458,8.3439
1,A16C,5.0997,7.945
1,A16N,5.1065,7.6374
1,A16S,5.0989,8.3439
1,A17C,3.8291,7.943
1,A17N,3.8284,7.629
1,A17S,3.8303,8.3452
1,A18N,2.1327,7.943
1,A18N,2.1326,7.6318
1,A18S,2.1313,8.3439
